camera_site,filename,class_id,prob,class_name,count,rand_name,conf,expert_updated,event,timestamp,flash_fired
cam_4,I__00227-0.JPG,16,0.9929375,bassian_thrush,1,QfJm49Tyqy2aicYi.JPG,0.909,0,21,23/09/2023 6:32:40,1
cam_4,I__00228-0.JPG,8,0.9898282,superb_lyrebird,1,tU7O8UCEhNugNQE5.JPG,0.872,0,22,26/09/2023 12:41:46,0
cam_4,I__00229-0.JPG,1,0.97910327,tasmanian_pademelon,1,RTvH5Zbs4yd2OpHk.JPG,0.965,0,23,27/09/2023 5:11:30,1
cam_4,I__00230-0.JPG,16,0.996585,bassian_thrush,1,ePX8A5hKaEW61MrY.JPG,0.946,0,24,27/09/2023 5:59:08,1
cam_4,I__00231-0.JPG,8,0.9934274,superb_lyrebird,1,YaY2wrNylsLIEmuq.JPG,0.947,0,25,3/10/2023 9:06:42,1
cam_4,I__00232-0.JPG,8,0.99457633,superb_lyrebird,1,wRpSl868CQROBcvk.JPG,0.968,0,26,4/10/2023 6:02:58,1
cam_4,I__00235-0.JPG,5,0.9973519,cat,1,sqGAPw4Czk0ab1gD.JPG,0.961,0,27,6/10/2023 17:51:34,1
cam_5,I__00001-0.JPG,1,0.98891544,tasmanian_pademelon,1,iXS5uIXwF5Y6EhIs.JPG,0.947,0,1,27/07/2023 8:01:06,1
cam_5,I__00003-0.JPG,1,0.99394894,tasmanian_pademelon,1,7fxBQcpcpEqrnXTn.JPG,0.962,0,2,1/08/2023 17:10:10,1
cam_5,I__00004-0.JPG,1,0.9877886,tasmanian_pademelon,1,4k2vxBUMaVMQMekb.JPG,0.948,0,2,1/08/2023 17:12:50,1
cam_5,I__00005.JPG,1,1,tasmanian_pademelon,1,none,0,4,3,6/08/2023 6:39:42,1
cam_5,I__00006-0.JPG,1,0.995618,tasmanian_pademelon,1,KwaHX2fygy82Va97.JPG,0.928,0,4,7/08/2023 17:18:26,1
cam_5,I__00007-0.JPG,8,0.9894509,superb_lyrebird,1,M63DiiYepJZBipqw.JPG,0.943,0,5,9/08/2023 8:36:14,1
cam_5,I__00008.JPG,1,1,tasmanian_pademelon,1,none,0,4,5,9/08/2023 8:41:08,1
cam_5,I__00009-0.JPG,1,0.97753865,tasmanian_pademelon,1,P47w7EPusSazIqNv.JPG,0.9,0,6,9/08/2023 11:03:28,0
cam_5,I__00010-0.JPG,8,0.99878794,superb_lyrebird,1,QQYBRXpzIOYBwZ0j.JPG,0.975,0,7,9/08/2023 12:19:28,0
cam_5,I__00011-0.JPG,8,0.9801169,superb_lyrebird,1,bIdUHAmc9wReXKik.JPG,0.945,0,7,9/08/2023 12:19:58,0
cam_5,I__00012-0.JPG,1,0.97049594,tasmanian_pademelon,1,WUcOs1o8oJxFbnP6.JPG,0.679,0,8,13/08/2023 9:01:06,1
cam_5,I__00013-0.JPG,8,0.9835765,superb_lyrebird,1,dpgyNvgBNb3aaFfS.JPG,0.939,0,9,14/08/2023 10:37:44,1
cam_5,I__00014-0.JPG,1,0.8668216,tasmanian_pademelon,1,S1mZitCOG48B7Ggb.JPG,0.905,0,10,14/08/2023 12:36:44,0
cam_5,I__00016-0.JPG,1,0.99558735,tasmanian_pademelon,1,5wRSxS8mVhbSf7Cj.JPG,0.942,0,11,21/08/2023 21:29:46,1
cam_5,I__00017-0.JPG,1,0.9941425,tasmanian_pademelon,1,WQcAYTksEgkL2LOG.JPG,0.956,0,12,26/08/2023 10:07:00,0
cam_5,I__00018-0.JPG,1,0.9931867,tasmanian_pademelon,1,n8eM19lfYce8ZDyF.JPG,0.935,0,13,29/08/2023 7:49:58,1
cam_5,I__00019-0.JPG,1,0.9788392,tasmanian_pademelon,1,OobHwRxsYm6IJGsT.JPG,0.935,0,13,29/08/2023 7:51:52,1
cam_5,I__00020-0.JPG,8,0.9554125,superb_lyrebird,1,nhQL5sOG7sWbPjT1.JPG,0.958,0,14,5/09/2023 9:22:28,0
cam_5,I__00021-0.JPG,1,0.7388442,tasmanian_pademelon,1,OWHKQ7AdgSF84t8F.JPG,0.67,0,15,22/09/2023 8:17:22,0
cam_5,I__00022-0.JPG,1,0.7626558,tasmanian_pademelon,1,qVA4jj2UjSjhdaD3.JPG,0.934,0,16,24/09/2023 14:13:18,0
cam_5,I__00023-0.JPG,8,0.9880889,superb_lyrebird,1,sSW1azWHsXnlmAgj.JPG,0.906,0,17,3/10/2023 7:36:10,1
cam_5,I__00024.JPG,0,1,superb_lyrebird,1,none,0,5,18,5/10/2023 7:05:28,1
cam_5,I__00025.JPG,8,1,superb_lyrebird,1,none,0,4,18,5/10/2023 7:06:38,0
cam_5,I__00027-0.JPG,1,0.9362248,tasmanian_pademelon,1,BihHYsBnZ2v4aAB6.JPG,0.835,0,19,18/10/2023 9:07:50,0
cam_5,I__00028-0.JPG,1,0.92820066,tasmanian_pademelon,1,eRpq3tRt1yAyAFu6.JPG,0.942,0,20,5/11/2023 6:30:20,1
cam_5,I__00029.JPG,1,1,tasmanian_pademelon,1,none,0,4,21,5/11/2023 8:06:26,0
cam_5,I__00030-0.JPG,1,0.96279305,tasmanian_pademelon,1,DLbnqNtazniVvNge.JPG,0.96,0,22,7/11/2023 18:14:50,1
cam_5,I__00031-0.JPG,1,0.96894026,tasmanian_pademelon,1,3UoNojsYdOUHRkfa.JPG,0.967,0,22,7/11/2023 18:15:52,1
cam_5,I__00032-0.JPG,1,0.9794334,tasmanian_pademelon,1,2C8sAjnZQmfJ4t8D.JPG,0.964,0,23,21/11/2023 17:28:26,0
cam_5,I__00033-0.JPG,1,0.570434,tasmanian_pademelon,1,uNudXqVCW2kRyk6M.JPG,0.903,0,24,22/11/2023 10:56:26,0
